proba_col,best_f1,best_thr,precision@best,recall@best,specificity@best,accuracy@best,tp,fp,fn,tn
gating_pred_proba,0.25159010600663106,0.1,0.18528799444829974,0.3917828319882609,0.8637655932695097,0.8291751801268954,534,2348,829,14887
s1_s2_final_proba,0.244546850997977,0.11,0.21035940803382655,0.29200293470286115,0.9133159268929504,0.867781481879772,398,1494,965,15741
s1_pred_proba,0.2435424354238672,0.11,0.2096347273689782,0.2905355832721935,0.9133739483608936,0.867727712657275,396,1493,967,15742
s2_pred_proba,0.22134935304947603,0.2,0.16155143338954464,0.3514306676449007,0.8557586306933566,0.8187977201849661,479,2486,884,14749
s2_s1_final_proba,0.21880102635832527,0.18,0.16039671682626533,0.3440939104915625,0.8575572961995939,0.819926873857404,469,2455,894,14780
