proba_col,threshold,precision,recall,specificity,accuracy,f1,fpr,tn,fp,fn,tp
gating_pred_proba,0.0,0.0732874502634692,0.9999999999999993,0.0,0.0732874502634692,0.1365663042932448,1.0,0,17235,0,1363
gating_pred_proba,0.01,0.07334266035299182,0.9999999999999993,0.0008123005512039455,0.0740402193784278,0.1366621547098541,0.999187699448796,14,17221,0,1363
gating_pred_proba,0.02,0.07452454666076958,0.9889948642699921,0.028720626631853787,0.09909667706204968,0.13860469898706826,0.9712793733681462,495,16740,15,1348
gating_pred_proba,0.03,0.07967150824293681,0.9537784299339686,0.12869161589788222,0.1891601247445962,0.14705882352926944,0.8713083841021178,2218,15017,63,1300
gating_pred_proba,0.04,0.08835015842605555,0.8796771826852525,0.28215839860748476,0.3259490267770728,0.1605731886967673,0.7178416013925152,4863,12372,164,1199
gating_pred_proba,0.05,0.1002162263796183,0.7820983125458542,0.444676530316217,0.4694053123991827,0.17766666666646527,0.555323469683783,7664,9571,297,1066
gating_pred_proba,0.06,0.11354728074473296,0.680117388114453,0.5800986364955033,0.5874287557801914,0.1946048073892793,0.41990136350449664,9998,7237,436,927
gating_pred_proba,0.07,0.12929782082324454,0.5876742479823914,0.6870322019147085,0.6797505108076137,0.21196083619975722,0.31296779808529157,11841,5394,562,801
gating_pred_proba,0.08,0.14537351443123936,0.502567865003668,0.7663475485929794,0.7470158081514141,0.22551440329183298,0.2336524514070206,13208,4027,678,685
gating_pred_proba,0.09,0.1640369967355821,0.44240645634629466,0.821700029010734,0.7939025701688354,0.2393332010315561,0.17829997098926603,14162,3073,760,603
gating_pred_proba,0.1,0.18528799444829974,0.3917828319882609,0.8637655932695097,0.8291751801268954,0.25159010600663106,0.13623440673049028,14887,2348,829,534
gating_pred_proba,0.11,0.19693094629156002,0.33895818048422577,0.8906875543951261,0.8502527153457361,0.2491237530326976,0.1093124456048738,15351,1884,901,462
gating_pred_proba,0.12,0.21283095723014248,0.30667644900953756,0.9102988105599071,0.8660608667598666,0.251277427111028,0.08970118944009284,15689,1546,945,418
gating_pred_proba,0.13,0.22335329341317353,0.2736610418195156,0.9247461560777488,0.8770297881492634,0.24596109462528806,0.07525384392225123,15938,1297,990,373
gating_pred_proba,0.14,0.23500352858151008,0.24431401320616272,0.9371047287496374,0.8863318636412517,0.23956834532324103,0.06289527125036264,16151,1084,1030,333
gating_pred_proba,0.15,0.24919871794871776,0.22817314746881864,0.9456338845372788,0.8930530164533821,0.23822290310176047,0.05436611546272121,16298,937,1052,311
gating_pred_proba,0.16,0.2579185520361989,0.20909757887013927,0.9524223962866261,0.8979460157006129,0.23095623986984568,0.047577603713373946,16415,820,1078,285
gating_pred_proba,0.17,0.2644964394710069,0.1907556859867937,0.9580504786771106,0.9018173997204001,0.22165387894239447,0.04194952132288947,16512,723,1103,260
gating_pred_proba,0.18,0.2759815242494223,0.17534849596478344,0.9636205395996519,0.9058500914076782,0.2144459398828804,0.03637946040034813,16608,627,1124,239
gating_pred_proba,0.19,0.2805662805662802,0.1599413059427732,0.9675659994197853,0.9083772448650392,0.20373831775654666,0.03243400058021468,16676,559,1145,218
gating_pred_proba,0.2,0.28920863309352474,0.14746881878209822,0.9713373948360894,0.9109581675448973,0.1953352769674825,0.028662605163910646,16741,494,1162,201
gating_pred_proba,0.21,0.29635499207606925,0.1371973587674247,0.9742384682332463,0.9128938595547909,0.18756268806375975,0.0257615317667537,16791,444,1176,187
gating_pred_proba,0.22,0.3086642599277973,0.12545854732208356,0.9777777777777777,0.9153134745671577,0.17840375586813348,0.022222222222222223,16852,383,1192,171
gating_pred_proba,0.23,0.3171247357293862,0.11005135730007329,0.9812590658543661,0.9174104742445425,0.16339869281007485,0.018740934145633884,16912,323,1213,150
gating_pred_proba,0.24,0.3278301886792445,0.10198092443140125,0.9834638816362054,0.9188622432519625,0.15556799104608443,0.016536118363794605,16950,285,1224,139
gating_pred_proba,0.25,0.3494623655913969,0.09537784299339686,0.9859588047577603,0.920690396816862,0.14985590778064278,0.014041195242239629,16993,242,1233,130
gating_pred_proba,0.26,0.34161490683229706,0.08070432868672042,0.9876994487960545,0.9212280890418325,0.13056379821927527,0.01230055120394546,17023,212,1253,110
gating_pred_proba,0.27,0.3490909090909078,0.07043286867204691,0.9896141572381781,0.9222497042692762,0.11721611721583769,0.010385842761821874,17056,179,1267,96
gating_pred_proba,0.28,0.35864978902953437,0.06236243580337487,0.9911807368726429,0.9231100118292289,0.1062499999997475,0.008819263127357122,17083,152,1278,85
gating_pred_proba,0.29,0.3654822335025362,0.05282465150403518,0.9927473165071077,0.9238627809441875,0.09230769230747153,0.00725268349289237,17110,125,1291,72
gating_pred_proba,0.3,0.39880952380952145,0.049156272927366074,0.994139831737743,0.9248843961716313,0.0875244937947098,0.005860168262257035,17134,101,1296,67
gating_pred_proba,0.31,0.4028776978417237,0.04108584005869403,0.9951842181607194,0.9252607807291107,0.07456724367493181,0.004815781839280534,17152,83,1307,56
gating_pred_proba,0.32,0.40707964601769553,0.03374908290535581,0.9961125616478097,0.9255833960640929,0.06233062330609159,0.0038874383521903103,17168,67,1317,46
gating_pred_proba,0.33,0.417582417582413,0.027879677182685234,0.9969248621990137,0.9259060113990751,0.05226960110029524,0.003075137800986365,17182,53,1325,38
gating_pred_proba,0.34,0.3999999999999943,0.020542920029347014,0.9975630983463881,0.9259597806215722,0.03907885554770884,0.0024369016536118365,17193,42,1335,28
gating_pred_proba,0.35000000000000003,0.4444444444444362,0.01760821716801173,0.9982593559617058,0.9263899344015486,0.033874382498162346,0.0017406440382941688,17205,30,1339,24
gating_pred_proba,0.36,0.41860465116278095,0.013206162876008795,0.9985494633014216,0.9263361651790515,0.025604551920282066,0.001450536698578474,17210,25,1345,18
gating_pred_proba,0.37,0.4166666666666551,0.01100513573000733,0.9987815491731941,0.9263899344015486,0.021443888491729676,0.0012184508268059183,17214,21,1348,15
gating_pred_proba,0.38,0.3999999999999867,0.008804108584005864,0.9989556135770234,0.9263899344015486,0.0172290021535831,0.0010443864229765013,17217,18,1351,12
gating_pred_proba,0.39,0.39999999999998004,0.005869405722670576,0.9993037423846823,0.9264974728465426,0.011569052783774805,0.0006962576153176675,17223,12,1355,8
gating_pred_proba,0.4,0.3571428571428316,0.00366837857666911,0.9994778067885117,0.9264974728465426,0.007262164124889086,0.0005221932114882506,17226,9,1358,5
gating_pred_proba,0.41000000000000003,0.7142857142856123,0.00366837857666911,0.9998839570641137,0.926873857404022,0.007299270072982525,0.00011604293588627792,17233,2,1358,5
gating_pred_proba,0.42,0.6666666666665555,0.002934702861335288,0.9998839570641137,0.926820088181525,0.00584368151934846,0.00011604293588627792,17233,2,1359,4
gating_pred_proba,0.43,0.6666666666664445,0.001467351430667644,0.9999419785320569,0.9267663189590278,0.0029282576866720405,5.802146794313896e-05,17234,1,1361,2
gating_pred_proba,0.44,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.45,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.46,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.47000000000000003,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.48,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.49,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.5,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.51,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.52,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.53,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.54,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.55,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.56,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.5700000000000001,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.58,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.59,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.6,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.61,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.62,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.63,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.64,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.65,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.66,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.67,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.68,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.6900000000000001,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.7000000000000001,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.71,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.72,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
gating_pred_proba,0.73,0.0,0.0,1.0,0.9267125497365308,0.0,0.0,17235,0,1363,0
