proba_col,best_f1,best_thr,precision@best,recall@best,specificity@best,accuracy@best,tp,fp,fn,tn
gating_pred_proba,0.40784313725440463,0.21,0.3793774319066146,0.4409270774448839,0.9213171363384102,0.8740687201156455,780,1276,989,14941
s1_s2_final_proba,0.3931712364195759,0.21,0.36242250834525497,0.4296212549462971,0.9175556514768451,0.8695652173913043,760,1337,1009,14880
s1_pred_proba,0.3877551020403233,0.2,0.3463761671854156,0.44036178631995454,0.9093543812049083,0.8632269542977872,779,1470,990,14747
s2_pred_proba,0.3757799861330963,0.34,0.31782642689601237,0.45958168456755205,0.8923968674847381,0.8498276437228955,813,1745,956,14472
s2_s1_final_proba,0.3716603053430234,0.29,0.3215022699133305,0.44036178631995454,0.8986248997965097,0.8535527632603136,779,1644,990,14573
