proba_col,ROC_AUC,PR_AUC(AP)
gating_pred_proba,0.7955831720253362,0.36242767545810256
s1_s2_final_proba,0.7868256039755893,0.3567602269043131
s1_pred_proba,0.7833875136020019,0.35122007793770893
s2_s1_final_proba,0.776600307732818,0.3326958201265014
s2_pred_proba,0.7780560796542846,0.32272153487731364
