proba_col,ROC_AUC,PR_AUC(AP)
s1_pred_proba,0.8448394369707674,0.3004958947332652
s1_s2_final_proba,0.845067311117485,0.30036881945052807
gating_pred_proba,0.8344292022760041,0.2786158988707786
s2_s1_final_proba,0.7703692933864432,0.21321821817794306
s2_pred_proba,0.7708655819873291,0.20566145367438465
