proba_col,threshold,precision,recall,specificity,accuracy,f1,fpr,tn,fp,fn,tp
gating_pred_proba,0.17,0.35360824742268004,0.31847725162488366,0.972975302788673,0.9439410165582008,0.33512457254468914,0.0270246972113271,22574,627,734,343
gating_pred_proba,0.18,0.36596218020022203,0.30547818012999045,0.9754320934442481,0.9457121673943488,0.3329959514165078,0.024567906555751907,22631,570,748,329
gating_pred_proba,0.19,0.37935174069627803,0.29340761374187535,0.9777164777380285,0.9473597495675097,0.33089005235552876,0.022283522261971465,22684,517,761,316
gating_pred_proba,0.2,0.3865979381443294,0.278551532033426,0.9794836429464248,0.9483894884257352,0.32379924446794245,0.02051635705357528,22725,476,777,300
gating_pred_proba,0.21,0.39423076923076866,0.2664809656453108,0.9809921986121288,0.9492956586209738,0.31800554016572335,0.019007801387871212,22760,441,790,287
gating_pred_proba,0.22,0.3889716840536507,0.24233983286908056,0.9823283479160381,0.9495016063926188,0.29862700228785616,0.0176716520839619,22791,410,816,261
gating_pred_proba,0.23,0.395730706075533,0.22376973073351886,0.984138614714883,0.9504077765878574,0.2858837485167387,0.015861385285117022,22833,368,836,241
gating_pred_proba,0.24,0.3975481611208399,0.21077065923862565,0.9851730528856515,0.9508196721311475,0.2754854368927507,0.01482694711434852,22857,344,850,227
gating_pred_proba,0.25,0.41682600382409096,0.20241411327762285,0.9868540149131503,0.9520553587610182,0.27249999999955965,0.013145985086849705,22896,305,859,218
gating_pred_proba,0.26,0.43002028397565834,0.19684308263695433,0.9878884530839188,0.9527967707389406,0.27006369426708476,0.012111546916081203,22920,281,865,212
gating_pred_proba,0.27,0.43844492440604654,0.18848653667595155,0.9887935864833413,0.9532910453908888,0.2636363636359428,0.011206413516658765,22941,260,874,203
gating_pred_proba,0.28,0.44700460829492983,0.18012999071494878,0.989655618292315,0.9537441304885081,0.2567835870280482,0.010344381707685013,22961,240,883,194
gating_pred_proba,0.29,0.45588235294117535,0.1727019498607241,0.9904314469203913,0.9541560260317984,0.25050505050465166,0.009568553079608638,22979,222,891,186
gating_pred_proba,0.3,0.46770025839793156,0.16805942432683366,0.9911210723675704,0.9546091111294176,0.24726775956245226,0.008878927632429636,22995,206,896,181
gating_pred_proba,0.31,0.47439353099730325,0.16341689879294322,0.9915951898625059,0.9548562484553917,0.24309392265155225,0.008404810137494074,23006,195,901,176
gating_pred_proba,0.32,0.4753623188405783,0.1522748375116062,0.9921986121287876,0.9549386275640498,0.23066104078725524,0.007801387871212448,23020,181,913,164
gating_pred_proba,0.33,0.48447204968943947,0.14484679665738148,0.9928451359855178,0.9552269544443529,0.2230164403141557,0.007154864014482135,23035,166,921,156
gating_pred_proba,0.34,0.4983713355048843,0.14206128133704723,0.9933623550709021,0.9555976604333141,0.22109826589560821,0.0066376449290978835,23047,154,924,153
gating_pred_proba,0.35000000000000003,0.5017301038062266,0.13463324048282255,0.993793370975389,0.9556800395419721,0.21229868228370707,0.0062066290246110085,23057,144,932,145
gating_pred_proba,0.36,0.4924812030075169,0.12163416898792934,0.9941812852894272,0.955474091770327,0.1950856291880663,0.00581871471057282,23066,135,946,131
gating_pred_proba,0.37,0.4877049180327849,0.11049210770659229,0.9946123011939141,0.955391712661669,0.18016654049932004,0.005387698806085944,23076,125,958,119
gating_pred_proba,0.38,0.49785407725321673,0.10770659238625803,0.9949571139175035,0.9555976604333141,0.17709923664092866,0.0050428860824964445,23084,117,961,116
gating_pred_proba,0.39,0.5045454545454523,0.1030640668523676,0.9953019266410931,0.9557212290963012,0.17116422513464483,0.004698073358906944,23092,109,966,111
gating_pred_proba,0.4,0.5099999999999975,0.09470752089136482,0.9957760441360286,0.9558036082049592,0.15974941268571835,0.00422395586397138,23103,98,975,102
gating_pred_proba,0.41000000000000003,0.5130890052355994,0.09099350046425247,0.9959915520882721,0.9558447977592882,0.15457413249185745,0.004008447911727943,23108,93,979,98
gating_pred_proba,0.42,0.5248618784530358,0.08820798514391821,0.9962932632214129,0.9560095559766043,0.15103338632725738,0.00370673677858713,23115,86,982,95
gating_pred_proba,0.43,0.5449101796407153,0.08449396471680587,0.9967242791258998,0.9562566933025785,0.14630225080362586,0.003275720874100254,23125,76,986,91
gating_pred_proba,0.44,0.542682926829265,0.0826369545032497,0.9967673807163484,0.9562155037482495,0.14343271555174464,0.0032326192836515666,23126,75,988,89
gating_pred_proba,0.45,0.5608108108108071,0.07706592386258118,0.9971983966208353,0.9563802619655656,0.13551020408142003,0.002801603379164691,23136,65,994,83
gating_pred_proba,0.46,0.5839416058394118,0.07428040854224692,0.9975432093444249,0.9565862097372106,0.1317957166390088,0.002456790655575191,23144,57,997,80
gating_pred_proba,0.47000000000000003,0.5736434108527088,0.0687093779015784,0.9976294125253222,0.9564214515198945,0.12271973465984193,0.0023705874746778157,23146,55,1003,74
gating_pred_proba,0.48,0.5833333333333285,0.06499535747446605,0.9978449204775656,0.9564626410742236,0.1169590643273048,0.0021550795224343777,23151,50,1007,70
gating_pred_proba,0.49,0.5855855855855804,0.06035283194057562,0.9980173268393604,0.9564214515198945,0.10942760942743984,0.001982673160639628,23155,46,1012,65
gating_pred_proba,0.5,0.5980392156862687,0.056638811513463276,0.9982328347916039,0.9564626410742236,0.10347752332469334,0.0017671652083961899,23160,41,1016,61
gating_pred_proba,0.51,0.623655913978488,0.053853296193129015,0.9984914443342959,0.9565862097372106,0.09914529914515263,0.0015085556657040645,23166,35,1019,58
gating_pred_proba,0.52,0.6352941176470513,0.05013927576601667,0.9986638506960906,0.9565862097372106,0.09294320137680057,0.0013361493039093142,23170,31,1023,54
gating_pred_proba,0.53,0.6527777777777688,0.043639740018570065,0.9989224602387828,0.9565450201828816,0.08181026979970832,0.0010775397612171889,23176,25,1030,47
gating_pred_proba,0.54,0.64062499999999,0.03806870937790155,0.9990086634196802,0.9563802619655656,0.07186678352311923,0.000991336580319814,23178,23,1036,41
gating_pred_proba,0.55,0.6393442622950715,0.03621169916434537,0.9990517650101288,0.9563390724112365,0.06854130052713919,0.0009482349898711262,23179,22,1038,39
gating_pred_proba,0.56,0.6315789473684099,0.033426183844011116,0.9990948666005776,0.9562566933025785,0.06349206349196791,0.0009051333994224387,23180,21,1041,36
gating_pred_proba,0.5700000000000001,0.6399999999999871,0.02971216341689877,0.9992241713719237,0.9562155037482495,0.0567879325642452,0.0007758286280763761,23183,18,1045,32
gating_pred_proba,0.58,0.6530612244897825,0.02971216341689877,0.9992672729623723,0.9562566933025785,0.05683836589689713,0.0007327270376276885,23184,17,1045,32
gating_pred_proba,0.59,0.6458333333333198,0.028783658310120683,0.9992672729623723,0.9562155037482495,0.05511111111102933,0.0007327270376276885,23184,17,1046,31
gating_pred_proba,0.6,0.6458333333333198,0.028783658310120683,0.9992672729623723,0.9562155037482495,0.05511111111102933,0.0007327270376276885,23184,17,1046,31
gating_pred_proba,0.61,0.6428571428571275,0.025069637883008335,0.9993534761432696,0.9561331246395914,0.04825737265408317,0.0006465238567303133,23186,15,1050,27
gating_pred_proba,0.62,0.6315789473684044,0.022284122562674077,0.9993965777337184,0.9560507455309334,0.04304932735419418,0.0006034222662816258,23187,14,1053,24
gating_pred_proba,0.63,0.6216216216216048,0.021355617455895988,0.9993965777337184,0.9560095559766043,0.04129263913817628,0.0006034222662816258,23187,14,1054,23
gating_pred_proba,0.64,0.5757575757575583,0.017641597028783644,0.9993965777337184,0.9558447977592882,0.034234234234176486,0.0006034222662816258,23187,14,1058,19
gating_pred_proba,0.65,0.5757575757575583,0.017641597028783644,0.9993965777337184,0.9558447977592882,0.034234234234176486,0.0006034222662816258,23187,14,1058,19
gating_pred_proba,0.66,0.6785714285714044,0.017641597028783644,0.9996120856859618,0.9560507455309334,0.03438914027144376,0.00038791431403818803,23192,9,1058,19
gating_pred_proba,0.67,0.7619047619047257,0.014856081708449384,0.9997844920477565,0.9560919350852624,0.029143897996319442,0.00021550795224343778,23196,5,1061,16
