proba_col,best_f1,best_thr,precision@best,recall@best,specificity@best,accuracy@best,tp,fp,fn,tn
s1_s2_final_proba,0.3574570171926322,0.16,0.3139044943820223,0.4150417827298047,0.9578897461316322,0.9338083861932613,447,977,630,22224
s1_pred_proba,0.35613112100315025,0.16,0.3156384505021519,0.4085422469823581,0.958881082711952,0.9344674190625257,440,954,637,22247
gating_pred_proba,0.3482179434652994,0.13,0.31158357771260975,0.39461467038068676,0.9595276065686824,0.9344674190625257,425,939,652,22262
s2_s1_final_proba,0.2758336764095515,0.25,0.24778106508875722,0.311049210770659,0.9561656825136847,0.92754757393525,335,1017,742,22184
s2_pred_proba,0.2741592166874556,0.29,0.25314465408805015,0.29897864438254385,0.9590534890737468,0.9297718098690172,322,950,755,22251
