proba_col,ROC_AUC,PR_AUC(AP)
s1_s2_final_proba,0.6899940523724429,0.1993555801341459
s1_pred_proba,0.6892673898999707,0.19788314636909904
gating_pred_proba,0.6801577551990565,0.1880615279732753
s2_s1_final_proba,0.6030485308030105,0.1516548791491561
s2_pred_proba,0.6053468955080059,0.14792641278810553
