proba_col,best_f1,best_thr,precision@best,recall@best,specificity@best,accuracy@best,tp,fp,fn,tn
s1_s2_final_proba,0.2607196724839204,0.13,0.20207080828323307,0.3673345476624163,0.8530207948812599,0.8083347299033573,605,2389,1042,13865
s1_pred_proba,0.25936349859231006,0.13,0.20154777927321663,0.3636915604128717,0.8540051679586562,0.8088933579129658,599,2373,1048,13881
gating_pred_proba,0.2516080211876148,0.12,0.18274251167903266,0.40376442015786257,0.8170296542389565,0.7790067593989163,665,2974,982,13280
s2_pred_proba,0.20520077834736694,0.19,0.14478282576135793,0.35215543412264705,0.7892211148025101,0.7490084352829451,580,3426,1067,12828
s2_s1_final_proba,0.20240137221231116,0.16,0.13617289131347038,0.3940497874924102,0.7467085025224559,0.7142617730853025,649,4117,998,12137
